0	4	4	4	4	4	4	4	6	6	6	6	7	7	7	8	8	8	8	9	9	10	10	11	12	13	14	14	15	17	18	19	21	22	23
4	0	4	4	4	4	4	4	4	6	6	6	6	7	7	8	8	8	8	8	9	10	10	11	12	13	13	14	15	17	18	19	21	22	23
4	4	0	4	4	4	4	4	4	4	6	6	6	7	7	7	8	8	8	8	9	9	10	11	12	12	13	14	15	16	18	19	21	21	23
4	4	4	0	4	4	4	4	4	4	4	6	6	6	7	7	7	8	8	8	9	9	10	10	11	12	13	14	14	16	17	19	20	21	23
4	4	4	4	0	4	4	4	4	4	4	6	6	6	7	7	7	8	8	8	8	9	10	10	11	12	13	14	14	16	17	19	20	21	23
4	4	4	4	4	0	4	4	4	4	4	4	6	6	6	7	7	8	8	8	8	9	9	10	11	12	12	13	14	16	17	18	20	21	23
4	4	4	4	4	4	0	4	4	4	4	4	4	4	6	6	7	7	8	8	8	8	9	10	11	11	12	13	14	15	16	18	20	21	23
4	4	4	4	4	4	4	0	4	4	4	4	4	4	6	6	6	7	8	8	8	8	9	9	10	11	12	13	14	15	16	18	19	21	22
6	4	4	4	4	4	4	4	0	4	4	4	4	4	4	6	6	7	7	8	8	8	8	9	10	11	12	12	14	15	16	18	19	21	22
6	6	4	4	4	4	4	4	4	0	4	4	4	4	4	6	6	7	7	7	8	8	8	9	10	10	11	12	14	14	16	17	19	20	22
6	6	6	4	4	4	4	4	4	4	0	4	4	4	4	4	6	6	7	7	8	8	8	9	9	10	11	12	14	14	15	17	19	20	22
6	6	6	6	6	4	4	4	4	4	4	0	4	4	4	4	4	6	6	7	7	8	8	8	9	10	11	12	13	14	15	17	19	20	21
7	6	6	6	6	6	4	4	4	4	4	4	0	4	4	4	4	6	6	6	7	8	8	8	9	10	10	12	13	14	15	16	19	20	21
7	7	7	6	6	6	4	4	4	4	4	4	4	0	4	4	4	4	6	6	7	7	8	8	9	9	10	11	13	14	14	16	19	19	21
7	7	7	7	7	6	6	6	4	4	4	4	4	4	0	4	4	4	4	6	6	7	8	8	8	9	10	11	12	14	14	16	18	19	21
8	8	7	7	7	7	6	6	6	6	4	4	4	4	4	0	4	4	4	4	6	6	7	8	8	8	9	10	12	13	14	15	18	19	21
8	8	8	7	7	7	7	6	6	6	6	4	4	4	4	4	0	4	4	4	6	6	7	7	8	8	9	10	11	13	14	15	17	19	21
8	8	8	8	8	8	7	7	7	7	6	6	6	4	4	4	4	0	4	4	4	4	6	7	8	8	8	9	11	12	14	14	17	18	20
8	8	8	8	8	8	8	8	7	7	7	6	6	6	4	4	4	4	0	4	4	4	6	6	7	8	8	9	10	12	13	14	16	18	19
9	8	8	8	8	8	8	8	8	7	7	7	6	6	6	4	4	4	4	0	4	4	4	6	7	8	8	8	10	12	13	14	16	18	19
9	9	9	9	8	8	8	8	8	8	8	7	7	7	6	6	6	4	4	4	0	4	4	4	6	7	8	8	9	11	12	14	15	17	19
10	10	9	9	9	9	8	8	8	8	8	8	8	7	7	6	6	4	4	4	4	0	4	4	6	7	7	8	9	11	12	13	15	17	19
10	10	10	10	10	9	9	9	8	8	8	8	8	8	8	7	7	6	6	4	4	4	0	4	4	6	7	8	8	10	11	13	14	16	18
11	11	11	10	10	10	10	9	9	9	9	8	8	8	8	8	7	7	6	6	4	4	4	0	4	4	6	7	8	9	10	12	14	15	18
12	12	12	11	11	11	11	10	10	10	9	9	9	9	8	8	8	8	7	7	6	6	4	4	0	4	4	6	8	8	9	11	14	14	17
13	13	12	12	12	12	11	11	11	10	10	10	10	9	9	8	8	8	8	8	7	7	6	4	4	0	4	4	7	8	9	10	13	14	16
14	13	13	13	13	12	12	12	12	11	11	11	10	10	10	9	9	8	8	8	8	7	7	6	4	4	0	4	6	8	8	10	12	14	15
14	14	14	14	14	13	13	13	12	12	12	12	12	11	11	10	10	9	9	8	8	8	8	7	6	4	4	0	4	7	8	9	11	13	14
15	15	15	14	14	14	14	14	14	14	14	13	13	13	12	12	11	11	10	10	9	9	8	8	8	7	6	4	0	4	6	8	9	11	14
17	17	16	16	16	16	15	15	15	14	14	14	14	14	14	13	13	12	12	12	11	11	10	9	8	8	8	7	4	0	4	6	8	9	12
18	18	18	17	17	17	16	16	16	16	15	15	15	14	14	14	14	14	13	13	12	12	11	10	9	9	8	8	6	4	0	4	8	8	11
19	19	19	19	19	18	18	18	18	17	17	17	16	16	16	15	15	14	14	14	14	13	13	12	11	10	10	9	8	6	4	0	6	8	9
21	21	21	20	20	20	20	19	19	19	19	19	19	19	18	18	17	17	16	16	15	15	14	14	14	13	12	11	9	8	8	6	0	4	8
22	22	21	21	21	21	21	21	21	20	20	20	20	19	19	19	19	18	18	18	17	17	16	15	14	14	14	13	11	9	8	8	4	0	6
23	23	23	23	23	23	23	22	22	22	22	21	21	21	21	21	21	20	19	19	19	19	18	18	17	16	15	14	14	12	11	9	8	6	0
